Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
5164665,7734.375,-4016,2.4622930717,2448,1.5009196812,-15424,9.4567749847,33,2.5609756098,-42,-2.012195122,-38,2.3170731707,4,-0.0173913043,-61,-0.2652173913,130,-0.6341463415
5165305,7753.90625,-4032,2.4721030043,2448,1.5009196812,-15440,9.4665849172,28,2.9268292683,-48,-1.7073170732,-45,2.743902439,7,-0.0304347826,-63,-0.2739130435,130,-0.6341463415
5165945,7773.4375,-4176,2.5603923973,2448,1.5009196812,-15360,9.4175352544,28,2.9268292683,-48,-1.7073170732,-45,2.743902439,5,-0.0217391304,-58,-0.252173913,130,-0.6341463415
5166585,7792.96875,-4160,2.5505824647,2432,1.4911097486,-15376,9.427345187,-1,3.3536585366,-55,0.0609756098,-37,2.256097561,4,-0.0173913043,-57,-0.247826087,130,-0.6341463415
5167225,7812.5,-4208,2.5800122624,2512,1.5401594114,-15264,9.3586756591,-1,3.3536585366,-55,0.0609756098,-37,2.256097561,6,-0.0260869565,-64,-0.2782608696,129,-0.6292682927
5167865,7832.03125,-4144,2.5407725322,2496,1.5303494788,-15264,9.3586756591,4,2.4390243902,-40,-0.243902439,-20,1.2195121951,5,-0.0217391304,-61,-0.2652173913,128,-0.6243902439
5168505,7851.5625,-4144,2.5407725322,2464,1.5107296137,-15280,9.3684855917,-2,1.6463414634,-27,0.1219512195,-7,0.4268292683,4,-0.0173913043,-61,-0.2652173913,129,-0.6292682927
