Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
3377145,10664.0625,-4048,2.4819129368,3456,2.1189454323,-15344,9.4077253219,-9,3.6585365854,-60,0.5487804878,-12,0.7317073171,4,-0.0173913043,-65,-0.2826086957,126,-0.6146341463
3377785,10683.59375,-3904,2.3936235438,3568,2.1876149601,-15344,9.4077253219,-51,4.5731707317,-75,3.1097560976,-19,1.1585365854,1,-0.0043478261,-62,-0.2695652174,126,-0.6146341463
3378425,10703.125,-3712,2.2759043532,3632,2.2268546904,-15280,9.3684855917,-51,4.5731707317,-75,3.1097560976,-19,1.1585365854,4,-0.0173913043,-66,-0.2869565217,129,-0.6292682927
3379065,10722.65625,-3792,2.3249540159,3504,2.1483752299,-15120,9.2703862661,25,3.8414634146,-63,-1.5243902439,-9,0.5487804878,4,-0.0173913043,-69,-0.3,129,-0.6292682927
3379705,10742.1875,-4016,2.4622930717,3536,2.167995095,-15136,9.2801961987,25,3.8414634146,-63,-1.5243902439,-9,0.5487804878,6,-0.0260869565,-64,-0.2782608696,129,-0.6292682927
3380345,10761.71875,-3968,2.4328632741,3408,2.0895156346,-15200,9.3194359289,11,3.2926829268,-54,-0.6707317073,0,0,4,-0.0173913043,-68,-0.2956521739,127,-0.6195121951
3380985,10781.25,-3840,2.3543838136,3504,2.1483752299,-15200,9.3194359289,0,3.1707317073,-52,0,9,-0.5487804878,6,-0.0260869565,-68,-0.2956521739,128,-0.6243902439
