Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
1542265,10664.0625,-3600,2.2072348253,1136,0.6965052115,-15696,9.6235438381,-5,3.4146341463,-56,0.3048780488,-26,1.5853658537,1,-0.0043478261,-46,-0.2,132,-0.643902439
1542905,10683.59375,-3584,2.1974248927,1104,0.6768853464,-15664,9.603923973,13,3.4756097561,-57,-0.7926829268,-25,1.5243902439,3,-0.0130434783,-47,-0.2043478261,132,-0.643902439
1543545,10703.125,-3648,2.2366646229,1088,0.6670754139,-15584,9.5548743102,13,3.4756097561,-57,-0.7926829268,-25,1.5243902439,2,-0.0086956522,-47,-0.2043478261,134,-0.6536585366
1544185,10722.65625,-3632,2.2268546904,1024,0.6278356836,-15568,9.5450643777,23,3.2926829268,-54,-1.4024390244,-21,1.2804878049,3,-0.0130434783,-47,-0.2043478261,134,-0.6536585366
1544825,10742.1875,-3648,2.2366646229,944,0.5787860208,-15584,9.5548743102,14,2.743902439,-45,-0.8536585366,1,-0.0609756098,1,-0.0043478261,-43,-0.1869565217,132,-0.643902439
1545465,10761.71875,-3616,2.2170447578,896,0.5493562232,-15680,9.6137339056,14,2.743902439,-45,-0.8536585366,1,-0.0609756098,3,-0.0130434783,-46,-0.2,134,-0.6536585366
1546105,10781.25,-3568,2.1876149601,768,0.4708767627,-15632,9.5843041079,27,2.743902439,-45,-1.6463414634,7,-0.4268292683,1,-0.0043478261,-47,-0.2043478261,133,-0.6487804878
