Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
8800505,4804.6875,-4928,3.0214592275,1328,0.8142244022,-15136,9.2801961987,-163,4.6341463415,-76,9.9390243902,-90,5.487804878,6,-0.0260869565,-47,-0.2043478261,125,-0.6097560976
8801145,4824.21875,-4640,2.8448804414,1360,0.8338442673,-15136,9.2801961987,-163,4.6341463415,-76,9.9390243902,-90,5.487804878,7,-0.0304347826,-50,-0.2173913043,126,-0.6146341463
8801785,4843.75,-4752,2.9135499693,1584,0.9711833231,-14928,9.1526670754,-158,5.487804878,-90,9.6341463415,-132,8.0487804878,8,-0.0347826087,-48,-0.2086956522,125,-0.6097560976
8802425,4863.28125,-4736,2.9037400368,1584,0.9711833231,-14704,9.0153280196,-158,5.487804878,-90,9.6341463415,-132,8.0487804878,8,-0.0347826087,-47,-0.2043478261,128,-0.6243902439
8803065,4882.8125,-4592,2.8154506438,1680,1.0300429185,-14752,9.0447578173,-218,3.1707317073,-52,13.2926829268,-133,8.1097560976,9,-0.0391304348,-55,-0.2391304348,127,-0.6195121951
8803705,4902.34375,-4368,2.678111588,1840,1.128142244,-14960,9.1722869405,-98,-0.7317073171,12,5.9756097561,-135,8.2317073171,8,-0.0347826087,-48,-0.2086956522,126,-0.6146341463
8804345,4921.875,-4304,2.6388718578,1984,1.216431637,-15296,9.3782955242,-98,-0.7317073171,12,5.9756097561,-135,8.2317073171,6,-0.0260869565,-49,-0.2130434783,129,-0.6292682927
