Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
15979641,4804.6875,-2352,1.4420600858,3120,1.9129368486,-15904,9.7510729614,71,3.9024390244,-64,-4.3292682927,14,-0.8536585366,-1,0.0043478261,-56,-0.2434782609,138,-0.6731707317
15980281,4824.21875,-2256,1.3832004905,2944,1.8050275904,-16016,9.8197424893,54,4.6341463415,-76,-3.2926829268,21,-1.2804878049,-3,0.0130434783,-49,-0.2130434783,138,-0.6731707317
15980921,4843.75,-2208,1.3537706928,2912,1.7854077253,-15952,9.780502759,54,4.6341463415,-76,-3.2926829268,21,-1.2804878049,-4,0.0173913043,-52,-0.2260869565,137,-0.6682926829
15981561,4863.28125,-2192,1.3439607603,2992,1.8344573881,-15936,9.7706928265,75,4.5731707317,-75,-4.5731707317,22,-1.3414634146,-4,0.0173913043,-53,-0.2304347826,136,-0.6634146341
15982201,4882.8125,-2496,1.5303494788,3088,1.8933169834,-15824,9.7020232986,75,4.5731707317,-75,-4.5731707317,22,-1.3414634146,-3,0.0130434783,-56,-0.2434782609,138,-0.6731707317
15982841,4902.34375,-2576,1.5793991416,3040,1.8638871858,-15792,9.6824034335,68,4.2073170732,-69,-4.1463414634,53,-3.2317073171,-3,0.0130434783,-50,-0.2173913043,138,-0.6731707317
15983481,4921.875,-2432,1.4911097486,2992,1.8344573881,-15712,9.6333537707,-20,5.1219512195,-84,1.2195121951,53,-3.2317073171,-5,0.0217391304,-51,-0.2217391304,137,-0.6682926829
