Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
6956665,6757.8125,-1728,1.0594727161,2512,1.5401594114,-15840,9.7118332311,8,1.5243902439,-25,-0.487804878,-12,0.7317073171,-5,0.0217391304,-61,-0.2652173913,142,-0.6926829268
6957305,6777.34375,-1712,1.0496627836,2592,1.5892090742,-15760,9.6627835684,8,1.5243902439,-25,-0.487804878,-12,0.7317073171,-5,0.0217391304,-64,-0.2782608696,141,-0.687804878
6957945,6796.875,-1584,0.9711833231,2592,1.5892090742,-15744,9.6529736358,-24,2.1341463415,-35,1.4634146341,-22,1.3414634146,-5,0.0217391304,-62,-0.2695652174,142,-0.6926829268
6958585,6816.40625,-1680,1.0300429185,2592,1.5892090742,-15760,9.6627835684,6,2.256097561,-37,-0.3658536585,-15,0.9146341463,-7,0.0304347826,-61,-0.2652173913,140,-0.6829268293
6959225,6835.9375,-1696,1.039852851,2528,1.549969344,-15712,9.6333537707,6,2.256097561,-37,-0.3658536585,-15,0.9146341463,-8,0.0347826087,-63,-0.2739130435,140,-0.6829268293
6959865,6855.46875,-1680,1.0300429185,2432,1.4911097486,-15728,9.6431637032,3,2.256097561,-37,-0.1829268293,-2,0.1219512195,-4,0.0173913043,-64,-0.2782608696,142,-0.6926829268
6960505,6875,-1568,0.9613733906,2448,1.5009196812,-15728,9.6431637032,3,2.256097561,-37,-0.1829268293,-2,0.1219512195,-5,0.0217391304,-63,-0.2739130435,143,-0.6975609756
