Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
12837790,16074.21875,-3088,1.8933169834,928,0.5689760883,-15760,9.6627835684,3,3.2926829268,-54,-0.1829268293,5,-0.3048780488,3,-0.0130434783,-50,-0.2173913043,142,-0.6926829268
12838430,16093.75,-2992,1.8344573881,880,0.5395462906,-15712,9.6333537707,-15,3.2926829268,-54,0.9146341463,0,0,2,-0.0086956522,-45,-0.1956521739,141,-0.687804878
12839070,16113.28125,-3008,1.8442673207,912,0.5591661557,-15760,9.6627835684,-15,3.2926829268,-54,0.9146341463,0,0,3,-0.0130434783,-45,-0.1956521739,142,-0.6926829268
12839710,16132.8125,-3024,1.8540772532,896,0.5493562232,-15696,9.6235438381,-6,3.0487804878,-50,0.3658536585,2,-0.1219512195,4,-0.0173913043,-47,-0.2043478261,140,-0.6829268293
12840350,16152.34375,-3008,1.8442673207,864,0.5297363581,-15712,9.6333537707,-5,2.9268292683,-48,0.3048780488,3,-0.1829268293,2,-0.0086956522,-48,-0.2086956522,143,-0.6975609756
12840990,16171.875,-2960,1.814837523,864,0.5297363581,-15776,9.6725935009,-5,2.9268292683,-48,0.3048780488,3,-0.1829268293,2,-0.0086956522,-47,-0.2043478261,140,-0.6829268293
12841630,16191.40625,-2992,1.8344573881,800,0.4904966278,-15744,9.6529736358,0,2.6219512195,-43,0,1,-0.0609756098,3,-0.0130434783,-45,-0.1956521739,141,-0.687804878
12842270,16210.9375,-3024,1.8540772532,832,0.5101164929,-15744,9.6529736358,0,2.6219512195,-43,0,1,-0.0609756098,3,-0.0130434783,-43,-0.1869565217,141,-0.687804878
12842910,16230.46875,-2912,1.7854077253,832,0.5101164929,-15776,9.6725935009,-11,2.8048780488,-46,0.6707317073,-3,0.1829268293,4,-0.0173913043,-44,-0.1913043478,140,-0.6829268293
12843550,16250,-2896,1.7755977928,800,0.4904966278,-15648,9.5941140405,26,2.5,-41,-1.5853658537,4,-0.243902439,2,-0.0086956522,-46,-0.2,141,-0.687804878
12844190,16269.53125,-3072,1.8835070509,928,0.5689760883,-15792,9.6824034335,26,2.5,-41,-1.5853658537,4,-0.243902439,4,-0.0173913043,-46,-0.2,141,-0.687804878
12844830,16289.0625,-2944,1.8050275904,832,0.5101164929,-15776,9.6725935009,-1,2.6219512195,-43,0.0609756098,-2,0.1219512195,1,-0.0043478261,-49,-0.2130434783,142,-0.6926829268
12845470,16308.59375,-2944,1.8050275904,864,0.5297363581,-15888,9.7412630288,-1,2.6219512195,-43,0.0609756098,-2,0.1219512195,2,-0.0086956522,-46,-0.2,141,-0.687804878
12846110,16328.125,-2896,1.7755977928,768,0.4708767627,-15904,9.7510729614,-9,2.743902439,-45,0.5487804878,-9,0.5487804878,2,-0.0086956522,-43,-0.1869565217,140,-0.6829268293
12846750,16347.65625,-3040,1.8638871858,784,0.4806866953,-15888,9.7412630288,-2,2.6829268293,-44,0.1219512195,-12,0.7317073171,2,-0.0086956522,-48,-0.2086956522,141,-0.687804878
12847390,16367.1875,-2992,1.8344573881,800,0.4904966278,-15808,9.692213366,-2,2.6829268293,-44,0.1219512195,-12,0.7317073171,1,-0.0043478261,-43,-0.1869565217,140,-0.6829268293
12848030,16386.71875,-2944,1.8050275904,864,0.5297363581,-15776,9.6725935009,5,2.6219512195,-43,-0.3048780488,-9,0.5487804878,3,-0.0130434783,-44,-0.1913043478,139,-0.6780487805
12848670,16406.25,-2912,1.7854077253,752,0.4610668302,-15856,9.7216431637,-8,2.3780487805,-39,0.487804878,-15,0.9146341463,0,0,-44,-0.1913043478,141,-0.687804878
12849310,16425.78125,-3008,1.8442673207,784,0.4806866953,-15888,9.7412630288,-8,2.3780487805,-39,0.487804878,-15,0.9146341463,3,-0.0130434783,-46,-0.2,141,-0.687804878
