Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
11405517,5742.1875,-3072,1.8835070509,-512,-0.3139178418,-16000,9.8099325567,12,2.9268292683,-48,-0.7317073171,14,-0.8536585366,0,0,-37,-0.1608695652,141,-0.687804878
11406157,5761.71875,-3072,1.8835070509,-624,-0.3825873697,-15968,9.7903126916,12,2.9268292683,-48,-0.7317073171,14,-0.8536585366,0,0,-38,-0.1652173913,141,-0.687804878
11406797,5781.25,-3072,1.8835070509,-544,-0.3335377069,-16016,9.8197424893,-11,3.2926829268,-54,0.6707317073,6,-0.3658536585,0,0,-37,-0.1608695652,139,-0.6780487805
11407437,5800.78125,-2976,1.8246474555,-480,-0.2942979767,-15920,9.7608828939,-8,3.4146341463,-56,0.487804878,17,-1.0365853659,0,0,-40,-0.1739130435,141,-0.687804878
11408077,5820.3125,-2976,1.8246474555,-464,-0.2844880441,-15952,9.780502759,-8,3.4146341463,-56,0.487804878,17,-1.0365853659,-1,0.0043478261,-36,-0.1565217391,141,-0.687804878
11408717,5839.84375,-3088,1.8933169834,-512,-0.3139178418,-15984,9.8001226242,36,3.2926829268,-54,-2.1951219512,32,-1.9512195122,0,0,-40,-0.1739130435,140,-0.6829268293
11409357,5859.375,-3184,1.9521765788,-464,-0.2844880441,-16000,9.8099325567,36,3.2926829268,-54,-2.1951219512,32,-1.9512195122,0,0,-43,-0.1869565217,142,-0.6926829268
