Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
9701837,4804.6875,-3328,2.0404659718,384,0.2354383814,-15680,9.6137339056,27,2.6219512195,-43,-1.6463414634,0,0,2,-0.0086956522,-41,-0.1782608696,138,-0.6731707317
9702477,4824.21875,-3456,2.1189454323,352,0.2158185162,-15696,9.6235438381,9,2.743902439,-45,-0.5487804878,-3,0.1829268293,3,-0.0130434783,-43,-0.1869565217,140,-0.6829268293
9703117,4843.75,-3424,2.0993255671,288,0.176578786,-15744,9.6529736358,-31,2.8048780488,-46,1.8902439024,-6,0.3658536585,2,-0.0086956522,-42,-0.1826086957,140,-0.6829268293
9703757,4863.28125,-3296,2.0208461067,288,0.176578786,-15744,9.6529736358,-31,2.8048780488,-46,1.8902439024,-6,0.3658536585,0,0,-44,-0.1913043478,139,-0.6780487805
9704397,4882.8125,-3168,1.9423666462,320,0.1961986511,-15744,9.6529736358,-13,2.8048780488,-46,0.7926829268,-3,0.1829268293,1,-0.0043478261,-40,-0.1739130435,138,-0.6731707317
9705037,4902.34375,-3248,1.991416309,272,0.1667688535,-15696,9.6235438381,-13,2.8048780488,-46,0.7926829268,-3,0.1829268293,4,-0.0173913043,-47,-0.2043478261,141,-0.687804878
9705677,4921.875,-3216,1.9717964439,304,0.1863887186,-15728,9.6431637032,-13,2.987804878,-49,0.7926829268,-4,0.243902439,4,-0.0173913043,-44,-0.1913043478,138,-0.6731707317
