Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
1558814,9687.5,1840,-1.128142244,-15616,-9.5744941754,-2928,1.7952176579,27,2.3780487805,-39,-1.6463414634,-18,1.0975609756,-50,0.2173913043,39,0.1695652174,125,-0.6097560976
1559454,9707.03125,1856,-1.1379521766,-15696,-9.6235438381,-2976,1.8246474555,27,2.3780487805,-39,-1.6463414634,-18,1.0975609756,-50,0.2173913043,39,0.1695652174,126,-0.6146341463
1560094,9726.5625,1872,-1.1477621091,-15776,-9.6725935009,-3120,1.9129368486,18,2.4390243902,-40,-1.0975609756,-14,0.8536585366,-52,0.2260869565,41,0.1782608696,123,-0.6
1560734,9746.09375,1904,-1.1673819742,-15680,-9.6137339056,-3040,1.8638871858,18,2.4390243902,-40,-1.0975609756,-14,0.8536585366,-52,0.2260869565,36,0.1565217391,126,-0.6146341463
1561374,9765.625,1808,-1.1085223789,-15728,-9.6431637032,-3056,1.8736971183,5,2.5,-41,-0.3048780488,-13,0.7926829268,-49,0.2130434783,38,0.1652173913,125,-0.6097560976
1562014,9785.15625,1920,-1.1771919068,-15792,-9.6824034335,-2928,1.7952176579,-5,2.9268292683,-48,0.3048780488,-16,0.9756097561,-50,0.2173913043,36,0.1565217391,126,-0.6146341463
1562654,9804.6875,1888,-1.1575720417,-15824,-9.7020232986,-2944,1.8050275904,-5,2.9268292683,-48,0.3048780488,-16,0.9756097561,-51,0.2217391304,37,0.1608695652,125,-0.6097560976
