Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
3937694,7734.375,-3712,2.2759043532,928,0.5689760883,-15744,9.6529736358,-12,2.0731707317,-34,0.7317073171,8,-0.487804878,3,-0.0130434783,-57,-0.247826087,139,-0.6780487805
3938334,7753.90625,-3664,2.2464745555,864,0.5297363581,-15648,9.5941140405,-12,2.0731707317,-34,0.7317073171,8,-0.487804878,6,-0.0260869565,-56,-0.2434782609,137,-0.6682926829
3938974,7773.4375,-3776,2.3151440834,992,0.6082158185,-15664,9.603923973,8,2.0731707317,-34,-0.487804878,15,-0.9146341463,6,-0.0260869565,-57,-0.247826087,137,-0.6682926829
3939614,7792.96875,-3760,2.3053341508,992,0.6082158185,-15664,9.603923973,-11,2.012195122,-33,0.6707317073,16,-0.9756097561,4,-0.0173913043,-58,-0.252173913,139,-0.6780487805
3940254,7812.5,-3664,2.2464745555,928,0.5689760883,-15712,9.6333537707,-11,2.012195122,-33,0.6707317073,16,-0.9756097561,5,-0.0217391304,-54,-0.2347826087,138,-0.6731707317
3940894,7832.03125,-3712,2.2759043532,896,0.5493562232,-15680,9.6137339056,-2,2.1951219512,-36,0.1219512195,23,-1.4024390244,6,-0.0260869565,-56,-0.2434782609,137,-0.6682926829
3941534,7851.5625,-3648,2.2366646229,880,0.5395462906,-15728,9.6431637032,-2,2.1951219512,-36,0.1219512195,23,-1.4024390244,6,-0.0260869565,-56,-0.2434782609,137,-0.6682926829
