Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
14749470,9687.5,-3296,2.0208461067,240,0.1471489884,-15728,9.6431637032,0,2.987804878,-49,0,5,-0.3048780488,4,-0.0173913043,-51,-0.2217391304,142,-0.6926829268
14750110,9707.03125,-3312,2.0306560392,240,0.1471489884,-15664,9.603923973,0,2.987804878,-49,0,5,-0.3048780488,3,-0.0130434783,-48,-0.2086956522,140,-0.6829268293
14750750,9726.5625,-3248,1.991416309,288,0.176578786,-15744,9.6529736358,-19,3.1707317073,-52,1.1585365854,11,-0.6707317073,4,-0.0173913043,-49,-0.2130434783,141,-0.687804878
14751390,9746.09375,-3312,2.0306560392,288,0.176578786,-15792,9.6824034335,-19,3.1707317073,-52,1.1585365854,11,-0.6707317073,2,-0.0086956522,-52,-0.2260869565,141,-0.687804878
14752030,9765.625,-3280,2.0110361741,320,0.1961986511,-15792,9.6824034335,-6,2.9268292683,-48,0.3658536585,7,-0.4268292683,2,-0.0086956522,-53,-0.2304347826,141,-0.687804878
14752670,9785.15625,-3248,1.991416309,288,0.176578786,-15680,9.6137339056,-9,2.8048780488,-46,0.5487804878,5,-0.3048780488,0,0,-46,-0.2,140,-0.6829268293
14753310,9804.6875,-3312,2.0306560392,320,0.1961986511,-15728,9.6431637032,-9,2.8048780488,-46,0.5487804878,5,-0.3048780488,2,-0.0086956522,-52,-0.2260869565,140,-0.6829268293
